individual,Taylor_samples_filtered.vcf.gz,corresponding_ID_fullset_pruned_GSword_Zea,fullset_pruned_GSword_Zea.vcf.gz_callset2,species,admixed,sample_rgion,sample_label_CYP337B3_geneTree,Source_lead_author,source_DOI_html,fullset_SNPs_filtered.vcf.gz_callset1,c15_phylo_CYP337B3.vcf
LA_8,N,LA_8,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
LA_9,N,LA_9,Y,zea_LA,N,LA_2019,NA,this paper,NA,Y,N
MA_10,N,MA_10,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_11,N,MA_11,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_12,N,MA_12,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_13,N,MA_13,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_14,N,MA_14,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_15,N,MA_15,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_16,N,MA_16,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_17,N,MA_17,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_18,N,MA_18,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_19,N,MA_19,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_1,N,MA_1,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_20,N,MA_20,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_21,N,MA_21,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_22,N,MA_22,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_23,N,MA_23,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_24,N,MA_24,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_25,N,MA_25,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_27,N,MA_27,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_29,N,MA_29,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_2,N,MA_2,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_3,N,MA_3,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_5,N,MA_5,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_6,N,MA_6,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_7,N,MA_7,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_8,N,MA_8,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MA_9,N,MA_9,Y,zea_MA,N,MA_2019,NA,this paper,NA,Y,N
MO_009_10,N,MO_009_10,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_11,N,MO_009_11,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_12,N,MO_009_12,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_13,N,MO_009_13,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_14,N,MO_009_14,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_15,N,MO_009_15,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_16,N,MO_009_16,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_17,N,MO_009_17,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_18,N,MO_009_18,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_19,N,MO_009_19,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_1,N,MO_009_1,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_20,N,MO_009_20,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_21,N,MO_009_21,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_22,N,MO_009_22,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_23,N,MO_009_23,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_24,N,MO_009_24,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_25,N,MO_009_25,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_26,N,MO_009_26,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_27,N,MO_009_27,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_28,N,MO_009_28,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_29,N,MO_009_29,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_2,N,MO_009_2,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_30,N,MO_009_30,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_31,N,MO_009_31,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_32,N,MO_009_32,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_33,N,MO_009_33,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_3,N,MO_009_3,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_4,N,MO_009_4,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_5,N,MO_009_5,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_6,N,MO_009_6,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_7,N,MO_009_7,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_8,N,MO_009_8,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO_009_9,N,MO_009_9,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO-009_T1,N,MO-009_T1,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
MO-009_T2,N,MO-009_T2,Y,zea_MO,N,MO_2019,NA,this paper,NA,Y,N
NA_10,N,NA_10,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_11,N,NA_11,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_12,N,NA_12,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_14,N,NA_14,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_16,N,NA_16,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_18,N,NA_18,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_19,N,NA_19,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_21,N,NA_21,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_22,N,NA_22,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_23,N,NA_23,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_24,N,NA_24,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_25,N,NA_25,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_26,N,NA_26,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_27,N,NA_27,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_28,N,NA_28,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
