individual,species,admixed,sample_rgion,sample_label_CYP337B3_geneTree,Source_lead_author,source_DOI_html,fullset_SNPs_filtered.vcf.gz
SRR15526520,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853136,N
SRR15526521,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853137,N
SRR15526522,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853138,N
SRR15526523,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853139,N
SRR15526524,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853140,N
SRR15526525,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853141,N
SRR15526526,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853142,N
SRR15526527,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853143,N
SRR15526528,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853144,N
SRR15526529,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853145,N
SRR15526530,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853146,N
SRR15465881,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853147,N
SRR15465882,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853148,N
SRR15465883,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853149,N
SRR15465884,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853150,N
SRR15465885,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853151,N
SRR15465886,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853152,N
SRR15465887,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853153,N
SRR15465888,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853154,N
SRR15465889,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853155,N
SRR15465890,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853156,N
SRR15465891,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853157,N
SRR15351348,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853158,N
SRR15351349,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853159,N
SRR15351350,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853160,N
SRR15351351,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853161,N
SRR15351352,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853162,N
